data_entry,id,trial,movement,number,comment
caterina,P04,26,inwards,4,
caterina,P04,27,outwards,8,
caterina,P04,28,inwards,12,
caterina,P04,29,outwards,15,
caterina,P04,30,inwards,16,
caterina,P04,31,outwards,22,
caterina,P04,32,inwards,29,
caterina,P04,33,outwards,4,
caterina,P04,34,inwards,3,
caterina,P04,35,outwards,1,
caterina,P04,36,inwards,8,
caterina,P04,37,outwards,12,
caterina,P04,38,inwards,18,
caterina,P04,39,outwards,24,
caterina,P04,40,inwards,25,
caterina,P04,41,outwards,22,
caterina,P04,42,inwards,20,
caterina,P04,43,outwards,17,
caterina,P04,44,inwards,9,
caterina,P04,45,outwards,5,
caterina,P04,46,inwards,1,
caterina,P04,47,outwards,7,
caterina,P04,48,inwards,19,
caterina,P04,49,outwards,30,
caterina,P04,50,inwards,22,
caterina,P04,51,outwards,28,
caterina,P04,52,inwards,3,
caterina,P04,53,outwards,5,
caterina,P04,54,inwards,8,
caterina,P04,55,outwards,11,
caterina,P04,56,inwards,15,
caterina,P04,57,outwards,21,
caterina,P04,58,inwards,23,
caterina,P04,59,outwards,27,
caterina,P04,60,inwards,22,
caterina,P04,61,outwards,30,
caterina,P04,62,inwards,1,
caterina,P04,63,outwards,4,
caterina,P04,64,inwards,7,
caterina,P04,65,outwards,8,
caterina,P04,66,inwards,2,
caterina,P04,67,outwards,4,
caterina,P04,68,inwards,12,
caterina,P04,69,outwards,17,
caterina,P04,70,inwards,21,
caterina,P04,71,outwards,20,
caterina,P04,72,inwards,25,
caterina,P04,73,outwards,28,
caterina,P04,74,inwards,30,
caterina,P04,75,outwards,19,
caterina,P04,76,inwards,12,
caterina,P04,77,outwards,13,
caterina,P04,78,inwards,14,
caterina,P04,79,outwards,5,
caterina,P04,80,inwards,2,
caterina,P04,81,outwards,NA,
caterina,P04,82,inwards,NA,
caterina,P04,83,outwards,NA,
caterina,P04,84,inwards,NA,
caterina,P04,85,outwards,NA,
caterina,P04,86,inwards,NA,
caterina,P04,87,outwards,NA,
caterina,P04,88,inwards,NA,
caterina,P04,89,outwards,NA,
caterina,P04,90,inwards,NA,
caterina,P04,91,outwards,NA,
caterina,P04,92,inwards,NA,
caterina,P04,93,outwards,NA,
caterina,P04,94,inwards,NA,
caterina,P04,95,outwards,NA,
caterina,P04,96,inwards,NA,
caterina,P04,97,outwards,NA,
caterina,P04,98,inwards,NA,
caterina,P04,99,outwards,NA,
caterina,P04,100,inwards,NA,
caterina,P05,1,outwards,5,
caterina,P05,2,inwards,12,
caterina,P05,3,outwards,17,
caterina,P05,4,inwards,22,
caterina,P05,5,outwards,30,
caterina,P05,6,inwards,17,
caterina,P05,7,outwards,6,
caterina,P05,8,inwards,2,
caterina,P05,9,outwards,5,
caterina,P05,10,inwards,6,
caterina,P05,11,outwards,12,
caterina,P05,12,inwards,21,
caterina,P05,13,outwards,24,
caterina,P05,14,inwards,17,
caterina,P05,15,outwards,15,
caterina,P05,16,inwards,2,
caterina,P05,17,outwards,9,
caterina,P05,18,inwards,10,
caterina,P05,19,outwards,29,
caterina,P05,20,inwards,24,
caterina,P05,21,outwards,8,
caterina,P05,22,inwards,15,
caterina,P05,23,outwards,6,
caterina,P05,24,inwards,1,
caterina,P05,25,outwards,8,
caterina,P05,26,inwards,12,
caterina,P05,27,outwards,26,
caterina,P05,28,inwards,23,
caterina,P05,29,outwards,20,
caterina,P05,30,inwards,17,
caterina,P05,31,outwards,30,
caterina,P05,32,inwards,2,
caterina,P05,33,outwards,4,
caterina,P05,34,inwards,6,
caterina,P05,35,outwards,9,
caterina,P05,36,inwards,15,
caterina,P05,37,outwards,11,
caterina,P05,38,inwards,6,
caterina,P05,39,outwards,18,
caterina,P05,40,inwards,20,
caterina,P05,41,outwards,24,
caterina,P05,42,inwards,25,
caterina,P05,43,outwards,10,
caterina,P05,44,inwards,3,
caterina,P05,45,outwards,12,
caterina,P05,46,inwards,15,
caterina,P05,47,outwards,10,
caterina,P05,48,inwards,18,
caterina,P05,49,outwards,14,
caterina,P05,50,inwards,6,
caterina,P05,51,outwards,16,
caterina,P05,52,inwards,19,
caterina,P05,53,outwards,23,
caterina,P05,54,inwards,7,
caterina,P05,55,outwards,2,
caterina,P05,56,inwards,12,
caterina,P05,57,outwards,1,
caterina,P05,58,inwards,1,
caterina,P05,59,outwards,9,
caterina,P05,60,inwards,26,
caterina,P05,61,outwards,29,
caterina,P05,62,inwards,19,
caterina,P05,63,outwards,17,
caterina,P05,64,inwards,10,
caterina,P05,65,outwards,4,
caterina,P05,66,inwards,7,
caterina,P05,67,outwards,15,
caterina,P05,68,inwards,23,
caterina,P05,69,outwards,25,
caterina,P05,70,inwards,27,
caterina,P05,71,outwards,22,
caterina,P05,72,inwards,12,
caterina,P05,73,outwards,17,
caterina,P05,74,inwards,15,
caterina,P05,75,outwards,10,
caterina,P05,76,inwards,19,
caterina,P05,77,outwards,22,
caterina,P05,78,inwards,20,
