subject,language,movement,number,trial
eng_23_P03,english,outwards,22,73
eng_23_P03,english,inwards,16,74
eng_23_P03,english,outwards,30,75
eng_23_P03,english,inwards,10,76
eng_23_P03,english,outwards,15,77
eng_23_P03,english,inwards,16,78
eng_23_P03,english,outwards,23,79
eng_23_P03,english,inwards,6,80
eng_23_P03,english,outwards,22,81
eng_23_P04,english,outwards,19,1
eng_23_P04,english,inwards,11,2
eng_23_P04,english,outwards,17,3
eng_23_P04,english,inwards,12,4
eng_23_P04,english,outwards,10,5
eng_23_P04,english,inwards,2,6
eng_23_P04,english,outwards,6,7
eng_23_P04,english,inwards,9,8
eng_23_P04,english,outwards,15,9
eng_23_P04,english,inwards,17,10
eng_23_P04,english,outwards,20,11
eng_23_P04,english,inwards,29,12
eng_23_P04,english,outwards,30,13
eng_23_P04,english,inwards,12,14
eng_23_P04,english,inwards,6,24
eng_23_P04,english,outwards,9,25
eng_23_P04,english,inwards,2,26
eng_23_P04,english,outwards,14,27
eng_23_P04,english,inwards,17,28
eng_23_P04,english,outwards,15,29
eng_23_P04,english,inwards,20,30
eng_23_P04,english,outwards,24,31
eng_23_P04,english,inwards,26,32
eng_23_P04,english,outwards,25,33
eng_23_P04,english,inwards,5,34
eng_23_P04,english,outwards,6,35
eng_23_P04,english,inwards,2,36
eng_23_P04,english,outwards,3,37
eng_23_P04,english,inwards,10,38
eng_23_P04,english,outwards,11,39
eng_23_P04,english,outwards,8,45
eng_23_P04,english,inwards,12,46
eng_23_P04,english,outwards,16,47
eng_23_P04,english,inwards,27,48
eng_23_P04,english,outwards,28,49
eng_23_P04,english,inwards,29,50
eng_23_P04,english,outwards,4,51
eng_23_P04,english,inwards,5,52
eng_23_P04,english,outwards,2,53
eng_23_P04,english,inwards,3,54
eng_23_P04,english,outwards,4,55
eng_23_P04,english,inwards,12,60
eng_23_P04,english,outwards,14,61
eng_23_P04,english,inwards,20,62
eng_23_P04,english,outwards,16,63
eng_23_P04,english,inwards,12,64
eng_23_P04,english,outwards,1,65
eng_23_P04,english,inwards,2,66
eng_23_P04,english,outwards,15,73
eng_23_P04,english,inwards,23,74
eng_23_P04,english,outwards,26,75
eng_23_P04,english,inwards,13,76
eng_23_P04,english,outwards,11,77
eng_23_P04,english,inwards,4,78
eng_23_P04,english,outwards,4,83
eng_23_P04,english,inwards,6,84
eng_23_P04,english,outwards,9,85
eng_23_P04,english,inwards,11,86
eng_23_P04,english,outwards,18,87
eng_23_P04,english,inwards,14,88
eng_23_P04,english,outwards,12,89
eng_23_P04,english,inwards,16,90
eng_23_P04,english,outwards,20,91
eng_23_P04,english,inwards,24,92
eng_23_P04,english,outwards,25,93
eng_23_P04,english,inwards,10,94
eng_23_P04,english,outwards,6,95
eng_23_P04,english,inwards,4,96
eng_23_P04,english,outwards,18,97
eng_23_P04,english,inwards,19,98
eng_23_P04,english,outwards,26,99
eng_23_P04,english,inwards,28,100
eng_23_P04,english,outwards,30,101
eng_23_P04,english,inwards,10,102
eng_23_P04,english,outwards,9,103
eng_23_P04,english,inwards,18,104
eng_23_P04,english,outwards,16,105
eng_23_P04,english,inwards,15,106
eng_23_P04,english,outwards,8,107
eng_23_P04,english,inwards,4,108
eng_23_P04,english,outwards,6,109
eng_23_P04,english,inwards,19,110
eng_23_P05,english,outwards,5,1
eng_23_P05,english,inwards,7,2
eng_23_P05,english,outwards,11,3
eng_23_P05,english,inwards,17,4
eng_23_P05,english,outwards,20,5
eng_23_P05,english,inwards,25,6
eng_23_P05,english,outwards,30,7
eng_23_P05,english,inwards,6,8
eng_23_P05,english,outwards,17,9
eng_23_P05,english,inwards,19,10
eng_23_P05,english,outwards,21,11
eng_23_P05,english,inwards,16,12
eng_23_P05,english,outwards,5,13
eng_23_P05,english,inwards,20,14
eng_23_P05,english,outwards,21,15
eng_23_P05,english,inwards,25,16
eng_23_P05,english,outwards,29,17
eng_23_P05,english,inwards,19,18
eng_23_P05,english,outwards,15,19
eng_23_P05,english,inwards,12,20
eng_23_P05,english,outwards,7,21
eng_23_P05,english,inwards,11,22
eng_23_P05,english,outwards,24,23
eng_23_P05,english,inwards,6,24
eng_23_P05,english,outwards,3,25
eng_23_P05,english,inwards,1,26
eng_23_P05,english,outwards,30,27
eng_23_P05,english,inwards,29,28
eng_23_P05,english,outwards,27,29
eng_23_P05,english,inwards,20,30
eng_23_P05,english,outwards,13,31
eng_23_P05,english,inwards,11,32
eng_23_P05,english,outwards,9,33
eng_23_P05,english,inwards,17,34
eng_23_P05,english,outwards,14,35
eng_23_P05,english,inwards,13,36
eng_23_P05,english,outwards,10,37
eng_23_P05,english,inwards,3,38
eng_23_P05,english,outwards,1,39
eng_23_P05,english,inwards,7,40
eng_23_P05,english,outwards,2,41
eng_23_P05,english,inwards,16,42
eng_23_P05,english,outwards,18,43
eng_23_P05,english,inwards,21,44
eng_23_P05,english,outwards,28,45
eng_23_P05,english,inwards,24,46
eng_23_P05,english,outwards,17,47
eng_23_P05,english,inwards,10,48
eng_23_P05,english,outwards,3,49
eng_23_P05,english,inwards,4,50
eng_23_P05,english,outwards,11,51
eng_23_P05,english,inwards,18,52
eng_23_P05,english,outwards,22,53
eng_23_P05,english,inwards,29,54
eng_23_P05,english,outwards,30,55
eng_23_P05,english,inwards,17,56
eng_23_P05,english,outwards,11,57
eng_23_P05,english,inwards,6,58
eng_23_P05,english,outwards,9,59
eng_23_P05,english,inwards,7,60
eng_23_P05,english,outwards,14,61
eng_23_P05,english,inwards,18,62
eng_23_P05,english,outwards,26,63
eng_23_P05,english,inwards,23,64
eng_23_P05,english,outwards,22,65
eng_23_P05,english,inwards,11,66
eng_23_P05,english,outwards,1,67
eng_23_P05,english,inwards,3,68
eng_23_P05,english,outwards,4,69
eng_23_P05,english,inwards,16,70
eng_23_P05,english,outwards,18,71
eng_23_P05,english,inwards,17,72
eng_23_P05,english,outwards,20,73
eng_23_P05,english,inwards,30,74
eng_23_P05,english,outwards,18,75
eng_23_P05,english,inwards,5,76
eng_23_P05,english,outwards,8,77
eng_23_P05,english,inwards,11,78
eng_23_P05,english,outwards,10,79
eng_23_P05,english,inwards,4,80
eng_23_P06,english,outwards,10,1
eng_23_P06,english,inwards,11,2
eng_23_P06,english,outwards,30,3
eng_23_P06,english,inwards,28,4
eng_23_P06,english,outwards,13,5
eng_23_P06,english,inwards,6,6
eng_23_P06,english,outwards,1,7
eng_23_P06,english,inwards,17,8
eng_23_P06,english,outwards,14,9
eng_23_P06,english,inwards,20,10
eng_23_P06,english,outwards,26,11
eng_23_P06,english,inwards,16,12
eng_23_P06,english,outwards,6,13
eng_23_P06,english,inwards,2,14
eng_23_P06,english,outwards,3,15
eng_23_P06,english,inwards,24,16
eng_23_P06,english,outwards,15,17
eng_23_P06,english,inwards,20,18
eng_23_P06,english,outwards,30,19
eng_23_P06,english,inwards,27,20
eng_23_P06,english,outwards,17,21
eng_23_P06,english,inwards,5,22
eng_23_P06,english,outwards,4,23
eng_23_P06,english,inwards,11,24
eng_23_P06,english,outwards,13,25
eng_23_P06,english,inwards,23,26
eng_23_P06,english,outwards,28,27
eng_23_P06,english,inwards,11,28
eng_23_P06,english,outwards,6,29
eng_23_P06,english,inwards,17,30
eng_23_P06,english,outwards,18,31
eng_23_P06,english,inwards,4,32
eng_23_P06,english,outwards,9,33
eng_23_P06,english,inwards,1,34
eng_23_P06,english,outwards,29,35
eng_23_P06,english,inwards,23,36
eng_23_P06,english,outwards,26,37
eng_23_P06,english,inwards,30,38
eng_23_P06,english,outwards,1,39
eng_23_P06,english,inwards,2,40
eng_23_P06,english,outwards,4,41
eng_23_P06,english,inwards,10,42
eng_23_P06,english,outwards,18,43
eng_23_P06,english,inwards,21,44
eng_23_P06,english,outwards,25,45
eng_23_P06,english,inwards,23,46
eng_23_P06,english,outwards,29,47
eng_23_P06,english,inwards,11,48
eng_23_P06,english,outwards,19,49
eng_23_P06,english,inwards,1,50
eng_23_P06,english,outwards,3,51
eng_23_P06,english,inwards,1,52
eng_23_P06,english,outwards,11,53
eng_23_P06,english,inwards,10,54
eng_23_P06,english,outwards,28,55
eng_23_P06,english,inwards,16,56
eng_23_P06,english,outwards,14,57
eng_23_P06,english,inwards,13,58
eng_23_P06,english,outwards,27,59
eng_23_P06,english,inwards,1,60
eng_23_P06,english,outwards,6,61
eng_23_P06,english,inwards,15,62
eng_23_P06,english,outwards,17,63
eng_23_P06,english,inwards,3,64
eng_23_P06,english,outwards,8,65
eng_23_P06,english,inwards,2,66
eng_23_P06,english,outwards,29,67
eng_23_P06,english,inwards,26,68
eng_23_P06,english,outwards,13,69
eng_23_P06,english,inwards,12,70
eng_23_P06,english,outwards,24,71
eng_23_P06,english,inwards,28,72
eng_23_P06,english,outwards,16,73
eng_23_P06,english,inwards,4,74
eng_23_P06,english,outwards,19,75
eng_23_P06,english,inwards,25,76
eng_23_P06,english,outwards,30,77
eng_23_P06,english,inwards,12,78
eng_23_P06,english,outwards,22,79
eng_23_P07,english,outwards,7,1
eng_23_P07,english,inwards,1,2
eng_23_P07,english,outwards,30,3
eng_23_P07,english,inwards,4,4
eng_23_P07,english,outwards,5,5
eng_23_P07,english,inwards,7,6
eng_23_P07,english,outwards,8,7
eng_23_P07,english,inwards,21,8
eng_23_P07,english,outwards,30,9
eng_23_P07,english,inwards,7,12
eng_23_P07,english,outwards,15,13
eng_23_P07,english,inwards,16,14
eng_23_P07,english,outwards,20,15
